,order_id,order_location_x,order_location_y,has_all_available_products,percentage_availability_of_products,warehouse_location_x,warehouse_location_y,distance_order_from_warehouse
0,0,340,371,0,0.08333333333333333,234,599,251.4358765172544
1,1,163,320,0,0.1,234,599,287.89234098878006
2,2,201,331,0,0.19999999999999998,234,599,270.0240730009086
3,3,257,290,0,0.19484126984126984,234,599,309.8548047069788
4,4,115,512,0,0.2105654761904762,234,599,147.41099009232656
5,5,154,147,0,0.08653846153846154,234,599,459.0250537824706
6,6,188,326,0,0.0707070707070707,234,599,276.8483339303309
7,7,210,180,0,0.05238095238095238,234,599,419.68678797407955
8,8,92,216,0,0.13888888888888887,234,599,408.47643750894616
9,9,135,190,0,0.1733333333333333,234,599,420.8111215260357
10,10,254,201,0,0.048611111111111105,234,599,398.5021957279533
11,11,198,328,1,1.0,234,599,273.3806869550225
12,12,193,254,0,0.10386870513452791,234,599,347.4276903184316
13,13,259,211,0,0.04700061842918985,234,599,388.8045781623462
14,14,211,211,0,0.10265567765567765,234,599,388.6811032195931
15,15,298,230,0,0.2043154761904762,234,599,374.50901190759083
16,16,265,417,0,0.13186756364343855,234,599,184.6212338816963
17,17,241,301,0,0.13194444444444445,234,599,298.08220342717544
18,18,252,200,0,0.07142857142857142,234,599,399.4058086708304
19,19,143,286,0,0.15476190476190474,234,599,325.96012026013244
20,20,264,236,0,0.24212962962962967,234,599,364.23755984247424
21,21,56,257,0,0.19281914893617022,234,599,385.5489592775475
22,22,180,348,0,0.1316137566137566,234,599,256.7430622236948
23,23,299,391,0,0.08849483849483851,234,599,217.91970998512272
24,24,273,402,0,0.09696969696969697,234,599,200.8233054204616
25,25,123,358,0,0.09361200620599118,234,599,265.3337520934719
26,26,293,238,0,0.3333333333333333,234,599,365.78955698598065
27,27,252,275,0,0.14968133718133717,234,599,324.49961479175903
28,28,91,246,0,0.03888888888888889,234,599,380.8648054100037
29,29,203,228,0,0.041666666666666664,234,599,372.29289544658246
30,30,228,120,0,0.0,234,599,479.0375768141785
31,31,134,204,0,0.1111111111111111,234,599,407.4616546375867
32,32,125,215,0,0.10535714285714284,234,599,399.17038968340324
33,33,230,335,0,0.12976190476190477,234,599,264.030301291348
34,34,145,415,0,0.12380437023294165,234,599,204.39422692434343
35,35,112,397,0,0.16666666666666666,234,599,235.98305023878305
36,36,107,382,0,0.21101190476190476,234,599,251.43189932862538
37,37,232,214,0,0.02990620490620491,234,599,385.00519477014853
38,38,273,229,0,0.02631578947368421,234,599,372.0497278590592
39,39,227,250,0,0.0747737556561086,234,599,349.07019351414124
40,40,357,359,0,0.1181818181818182,234,599,269.6831474156292
41,41,189,225,0,0.3039772727272727,234,599,376.6974913640918
42,42,262,427,0,0.10993589743589742,234,599,174.26416728633572
43,43,109,272,0,0.18055555555555555,234,599,350.0771343575584
44,44,243,306,0,0.03298611111111111,234,599,293.1381926668717
45,45,194,232,0,0.1773003472222222,234,599,369.173400992
46,46,48,289,0,0.05555555555555555,234,599,361.51901748040865
47,47,10,162,0,0.11904761904761903,234,599,491.06516879127156
48,48,90,473,0,0.3636363636363636,234,599,191.34262462922368
49,49,242,225,0,0.1111111111111111,234,599,374.08555171243916
50,50,107,353,0,0.3333333333333333,234,599,276.8483339303309
51,51,115,366,0,0.16666666666666666,234,599,261.6295090390226
52,52,236,404,0,0.06944444444444445,234,599,195.0102561405425
53,53,168,150,0,0.06190476190476191,234,599,453.82485608437094
54,54,230,135,0,0.09998359793594343,234,599,464.0172410589934
55,55,143,394,0,0.2694444444444445,234,599,224.28999086004708
56,56,275,343,0,0.0724025974025974,234,599,259.26241532470533
57,57,109,382,0,0.22424242424242424,234,599,250.42763425788297
58,58,274,336,0,0.13707482993197279,234,599,266.02443496791795
59,59,168,287,0,0.08306008806008805,234,599,318.90437438203946
60,60,185,338,0,0.1269047619047619,234,599,265.55978611228016
61,61,105,254,0,0.1111111111111111,234,599,368.32865758721516
62,62,237,243,0,0.09624503968253968,234,599,356.0126402250347
63,63,221,395,0,0.1749242424242424,234,599,204.41379601191306
64,64,269,258,0,0.08979591836734693,234,599,342.79148180781857
65,65,244,405,0,0.05357142857142857,234,599,194.25756098540927
66,66,147,363,0,0.23333333333333334,234,599,251.52534663528445
67,67,293,131,0,0.27904040404040403,234,599,471.70435656245536
68,68,295,304,0,0.13095238095238093,234,599,301.24076749337894
69,69,216,127,0,0.17045454545454544,234,599,472.34309564129336
70,70,223,394,0,0.041666666666666664,234,599,205.29490982486632
71,71,283,280,0,0.2625,234,599,322.7413825340655
72,72,126,275,0,0.06508264462809918,234,599,341.525987298185
73,73,192,257,0,0.08213884880551547,234,599,344.5692963686695
74,74,228,384,0,0.15858585858585858,234,599,215.08370463612533
75,75,267,233,0,0.0,234,599,367.484693558793
76,76,194,323,0,0.14285714285714285,234,599,278.8834882168537
77,77,75,294,0,0.36587301587301585,234,599,343.95639258487404
78,78,268,281,0,0.11552028218694883,234,599,319.81244503614926
79,79,178,316,0,0.1,234,599,288.4874347350331
80,80,262,245,0,0.12583333333333332,234,599,355.10561809129405
81,81,255,211,0,0.09000000000000001,234,599,388.5678833871889
82,82,388,237,0,0.0,234,599,393.3954753171419
83,83,136,260,0,0.21222222222222223,234,599,352.8809997718778
84,84,120,272,0,0.041666666666666664,234,599,346.30189141845585
85,85,180,171,0,0.09821428571428571,234,599,431.3930922024598
86,86,284,142,0,0.08333333333333333,234,599,459.72709295842026
87,87,274,348,0,0.0,234,599,254.16726775885206
88,88,158,195,0,0.19189814814814818,234,599,411.08636562162945
89,89,235,422,0,0.041666666666666664,234,599,177.00282483621552
90,90,232,154,0,0.5,234,599,445.00449435932666
91,91,216,247,0,0.06666666666666667,234,599,352.4599268001967
92,92,244,477,0,0.09166666666666666,234,599,122.40914998479485
93,93,259,273,0,0.11363636363636363,234,599,326.95718374123544
94,94,257,192,0,0.10214424951267055,234,599,407.64935913110423
95,95,190,261,0,0.05291005291005291,234,599,340.8518739863403
96,96,187,351,0,0.33805875207773944,234,599,252.41434190631878
97,97,180,308,0,0.2467171717171717,234,599,295.96790366524544
98,98,260,513,0,0.1619047619047619,234,599,89.8443097808648
99,99,126,342,0,0.13,234,599,278.7705149401565
100,100,259,354,0,0.2962962962962963,234,599,246.272207120495
101,101,113,341,0,0.1161816578483245,234,599,284.96491012052695
102,102,199,270,0,0.18484848484848485,234,599,330.8564643467013
103,103,198,360,0,0.08113587801087802,234,599,241.69609016283238
104,104,193,238,0,0.019810267857142856,234,599,363.3207948906861
105,105,169,278,0,0.24633237133237132,234,599,327.5148851579116
106,106,214,214,0,0.33035714285714285,234,599,385.5191305240247
107,107,318,388,0,0.13373851294903927,234,599,227.1057022621845
108,108,270,321,0,0.15357142857142855,234,599,280.3212442894758
109,109,270,359,0,0.08273809523809524,234,599,242.6849809938802
110,110,163,260,0,0.14616402116402116,234,599,346.35530889535966
