,order_id,order_location_x,order_location_y,has_all_available_products,percentage_availability_of_products,total_weight_of_order,warehouse_location_x,warehouse_location_y,distance_order_from_warehouse,classifier
0,0,340,371,0,0.17708333333333331,419.0,113,179,297.30960293942746,-1
1,1,163,320,0,0.125,45.0,113,179,149.60280746028798,-1
2,2,201,331,0,0.1,88.0,113,179,175.6359872008012,-1
3,3,257,290,0,0.1808641975308642,702.0,113,179,181.8158408940211,-1
4,4,115,512,0,0.33035714285714285,508.0,113,179,333.00600595184466,-1
5,5,154,147,0,0.0625,362.0,113,179,52.009614495783374,-1
6,6,188,326,0,0.08511220580186096,255.0,113,179,165.0272704737008,-1
7,7,210,180,0,0.07539682539682538,590.0,113,179,97.0051545022222,-1
8,8,92,216,0,0.07792207792207792,169.0,113,179,42.5440947723653,-1
9,9,135,190,0,0.18333333333333332,216.0,113,179,24.596747752497688,-1
10,10,254,201,0,0.06909937888198757,367.0,113,179,142.70599146496969,-1
11,11,198,328,0,0.3333333333333333,22.0,113,179,171.54008277950666,-1
12,12,193,254,0,0.17060185185185187,867.0,113,179,109.65856099730654,-1
13,13,259,211,0,0.07189402076620122,409.0,113,179,149.46571513226704,-1
14,14,211,211,0,0.1371794871794872,1085.0,113,179,103.09219175087898,-1
15,15,298,230,0,0.26785714285714285,493.0,113,179,191.90101615155663,-1
16,16,265,417,0,0.18895650214108634,1179.0,113,179,282.39688383549844,-1
17,17,241,301,0,0.09375,437.0,113,179,176.82759965570986,-1
18,18,252,200,0,0.08333333333333333,78.0,113,179,140.57738082636197,-1
19,19,143,286,0,0.14346182917611489,306.0,113,179,111.12605455067681,-1
20,20,264,236,0,0.12305194805194804,974.0,113,179,161.40012391568973,-1
21,21,56,257,0,0.08571428571428572,228.0,113,179,96.60745312862771,-1
22,22,180,348,0,0.10819427486094152,742.0,113,179,181.79658962697843,-1
23,23,299,391,0,0.14286935286935287,738.0,113,179,282.02836736753983,-1
24,24,273,402,0,0.16666666666666666,146.0,113,179,274.4612905311057,-1
25,25,123,358,0,0.26381987577639754,354.0,113,179,179.27911200137063,-1
26,26,293,238,0,0.19444444444444442,181.0,113,179,189.42280749687984,-1
27,27,252,275,0,0.2340277777777778,875.0,113,179,168.92897915988246,-1
28,28,91,246,0,0.0853174603174603,537.0,113,179,70.51950084905593,-1
29,29,203,228,0,0.0625,325.0,113,179,102.47438704378767,-1
30,30,228,120,0,0.0,132.0,113,179,129.25169244539896,-1
31,31,134,204,0,0.08333333333333333,149.0,113,179,32.64965543462902,-1
32,32,125,215,0,0.12777777777777777,217.0,113,179,37.94733192202055,-1
33,33,230,335,0,0.12775297619047618,1065.0,113,179,195.0,-1
34,34,145,415,0,0.12372012907727194,984.0,113,179,238.15961034566715,-1
35,35,112,397,0,0.16666666666666666,143.0,113,179,218.0022935659164,-1
36,36,107,382,0,0.23775252525252524,513.0,113,179,203.08865059377396,-1
37,37,232,214,0,0.08239155887600356,1131.0,113,179,124.04031602668546,-1
38,38,273,229,0,0.0,103.0,113,179,167.6305461424021,-1
39,39,227,250,0,0.18573013913211459,954.0,113,179,134.30189872075525,-1
40,40,357,359,0,0.13333333333333333,412.0,113,179,303.2094985319556,-1
41,41,189,225,0,0.25,207.0,113,179,88.83692925805124,-1
42,42,262,427,0,0.15104166666666666,493.0,113,179,289.31816396486414,-1
43,43,109,272,0,0.3,109.0,113,179,93.08598175880189,-1
44,44,243,306,0,0.05911330049261084,141.0,113,179,181.738823590338,-1
45,45,194,232,0,0.23948863636363635,635.0,113,179,96.79876032264049,-1
46,46,48,289,0,0.225,114.0,113,179,127.76932339180638,-1
47,47,10,162,0,0.21388888888888888,338.0,113,179,104.39348638684312,-1
48,48,90,473,0,0.20370370370370372,279.0,113,179,294.89828755013144,-1
49,49,242,225,0,0.07333333333333333,214.0,113,179,136.95619737711763,-1
50,50,107,353,0,0.25,143.0,113,179,174.1034175425629,-1
51,51,115,366,0,0.1111111111111111,236.0,113,179,187.0106948813356,-1
52,52,236,404,0,0.0985185185185185,785.0,113,179,256.4254277562972,-1
53,53,168,150,0,0.2480515297906602,290.0,113,179,62.177166226839255,-1
54,54,230,135,0,0.0674333836098542,1141.0,113,179,125.0,-1
55,55,143,394,0,0.21402116402116403,695.0,113,179,217.0829334609241,-1
56,56,275,343,0,0.10663265306122449,1118.0,113,179,230.52114870440846,-1
57,57,109,382,0,0.22272727272727275,773.0,113,179,203.03940504246953,-1
58,58,274,336,0,0.1750199220348474,828.0,113,179,224.8777445635739,-1
59,59,168,287,0,0.11796296296296296,996.0,113,179,121.19818480488888,-1
60,60,185,338,0,0.2019047619047619,261.0,113,179,174.54225849346628,-1
61,61,105,254,0,0.19846600331674957,907.0,113,179,75.4254598925323,-1
62,62,237,243,0,0.1328968253968254,454.0,113,179,139.54210834009928,-1
63,63,221,395,0,0.22391713747645953,768.0,113,179,241.49534156997728,-1
64,64,269,258,0,0.08270975056689342,411.0,113,179,174.86280336309378,-1
65,65,244,405,0,0.03339517625231911,335.0,113,179,261.22212769977966,-1
66,66,147,363,0,0.05818181818181818,330.0,113,179,187.11493793922494,-1
67,67,293,131,0,0.25066137566137564,459.0,113,179,186.29009635512028,-1
68,68,295,304,0,0.159375,471.0,113,179,220.79175709251467,-1
69,69,216,127,0,0.0962121212121212,749.0,113,179,115.3819743287486,-1
70,70,223,394,0,0.025,343.0,113,179,241.50569351466643,-1
71,71,283,280,0,0.19791666666666666,654.0,113,179,197.73972792537162,-1
72,72,126,275,0,0.051421356421356416,989.0,113,179,96.87620966986684,-1
73,73,192,257,0,0.1032139023081052,1047.0,113,179,111.01801655587259,-1
74,74,228,384,0,0.2238095238095238,390.0,113,179,235.05318547086316,-1
75,75,267,233,0,0.0,346.0,113,179,163.19313711060278,-1
76,76,194,323,0,0.05432453416149068,534.0,113,179,165.21803775617238,-1
77,77,75,294,0,0.369047619047619,570.0,113,179,121.1156472137271,-1
78,78,268,281,0,0.08582827963815436,391.0,113,179,185.5505322007997,-1
79,79,178,316,0,0.1111111111111111,49.0,113,179,151.6377261765686,-1
80,80,262,245,0,0.33999999999999997,351.0,113,179,162.96318602678338,-1
81,81,255,211,0,0.11695906432748537,136.0,113,179,145.5609837834301,-1
82,82,388,237,0,0.0,16.0,113,179,281.04981764804614,-1
83,83,136,260,0,0.32499999999999996,242.0,113,179,84.20213774008353,-1
84,84,120,272,0,0.035895085973640564,258.0,113,179,93.26306878931231,-1
85,85,180,171,0,0.08571428571428572,231.0,113,179,67.47592163134935,-1
86,86,284,142,0,0.16666666666666666,206.0,113,179,174.95713760804387,-1
87,87,274,348,0,0.0,261.0,113,179,233.41379565055703,-1
88,88,158,195,0,0.30357142857142855,670.0,113,179,47.75981574503821,-1
89,89,235,422,0,0.125,325.0,113,179,271.9062338380641,-1
90,90,232,154,0,0.06666666666666667,162.0,113,179,121.59769734661919,-1
91,91,216,247,0,0.11666666666666665,446.0,113,179,123.42204017111368,-1
92,92,244,477,0,0.3,269.0,113,179,325.5226566615602,-1
93,93,259,273,0,0.12045454545454545,657.0,113,179,173.64331256918592,-1
94,94,257,192,0,0.13708513708513706,747.0,113,179,144.5856147754679,-1
95,95,190,261,0,0.12530864197530864,647.0,113,179,112.48555462813881,-1
96,96,187,351,0,0.33166666666666667,644.0,113,179,187.2431574183687,-1
97,97,180,308,0,0.2695087521174478,582.0,113,179,145.3616180427282,-1
