,order_id,order_location_x,order_location_y,has_all_available_products,percentage_availability_of_products,total_weight_of_order,warehouse_location_x,warehouse_location_y,distance_order_from_warehouse,classifier
0,0,340,371,0,0.1986111111111111,419.0,220,326,128.16005617976296,-1
1,1,163,320,0,0.2,45.0,220,326,57.3149195236284,-1
2,2,201,331,0,0.3333333333333333,88.0,220,326,19.6468827043885,-1
3,3,257,290,0,0.1559015059015059,702.0,220,326,51.62363799656123,-1
4,4,115,512,0,0.265625,508.0,220,326,213.59073013593076,-1
5,5,154,147,0,0.0625,362.0,220,326,190.77997798511248,-1
6,6,188,326,0,0.22777777777777777,255.0,220,326,32.0,-1
7,7,210,180,0,0.09183673469387754,590.0,220,326,146.34206503941374,-1
8,8,92,216,0,0.0787037037037037,169.0,220,326,168.77203559831824,-1
9,9,135,190,0,0.30666666666666664,216.0,220,326,160.37767924496225,-1
10,10,254,201,0,0.08333333333333333,367.0,220,326,129.5414991421668,-1
11,11,198,328,0,0.3333333333333333,22.0,220,326,22.090722034374522,-1
12,12,193,254,0,0.09332311207311207,867.0,220,326,76.89603370785778,-1
13,13,259,211,0,0.12896825396825395,409.0,220,326,121.43310915891102,-1
14,14,211,211,0,0.10548980933596318,1085.0,220,326,115.35163631262454,-1
15,15,298,230,0,0.2603219696969697,493.0,220,326,123.69316876852982,-1
16,16,265,417,0,0.16101774042950517,1179.0,220,326,101.51847122568385,-1
17,17,241,301,0,0.21666666666666665,437.0,220,326,32.64965543462902,-1
18,18,252,200,0,0.25,78.0,220,326,130.0,-1
19,19,143,286,0,0.07738095238095237,306.0,220,326,86.76981041814025,-1
20,20,264,236,0,0.45783068783068787,974.0,220,326,100.17983829094555,1
21,21,56,257,0,0.5,228.0,220,326,177.92414113885727,1
22,22,180,348,0,0.20833333333333334,742.0,220,326,45.65084884205331,-1
23,23,299,391,0,0.17196284108048812,738.0,220,326,102.30347012687302,-1
24,24,273,402,0,0.16666666666666666,146.0,220,326,92.65527507918802,-1
25,25,123,358,0,0.31802721088435376,354.0,220,326,102.1420579389313,-1
26,26,293,238,0,0.6666666666666666,181.0,220,326,114.33722053644648,1
27,27,252,275,0,0.2759259259259259,875.0,220,326,60.207972893961475,-1
28,28,91,246,0,0.08988603988603988,537.0,220,326,151.7926216915697,-1
29,29,203,228,0,0.0625,325.0,220,326,99.46356116689167,-1
30,30,228,120,0,0.0,132.0,220,326,206.15528128088303,-1
31,31,134,204,0,0.18095238095238095,149.0,220,326,149.26486525636233,-1
32,32,125,215,0,0.15277777777777776,217.0,220,326,146.102703602637,-1
33,33,230,335,0,0.1635416666666667,1065.0,220,326,13.45362404707371,-1
34,34,145,415,0,0.13001522287236572,984.0,220,326,116.3872845288522,-1
35,35,112,397,0,0.16666666666666666,143.0,220,326,129.24782396620841,-1
36,36,107,382,0,0.2400793650793651,513.0,220,326,126.11502686040232,-1
37,37,232,214,0,0.06084358629721533,1131.0,220,326,112.64102272262978,-1
38,38,273,229,0,0.0,103.0,220,326,110.5350623105628,-1
39,39,227,250,0,0.12163865546218486,954.0,220,326,76.32168761236873,-1
40,40,357,359,0,0.07333333333333333,412.0,220,326,140.91841611372163,-1
41,41,189,225,0,0.10256410256410256,207.0,220,326,105.65036677645753,-1
42,42,262,427,0,0.3125,493.0,220,326,109.38464243210744,-1
